Sort,Complexity,Time
Quicksort,2002,969100
Quicksort,2486,1055800
Quicksort,734,747800
Quicksort,735,713200
Quicksort,736,658400
Quicksort,737,625900
Quicksort,738,668200
Quicksort,739,491000
Quicksort,1176,698200
Quicksort,2023,1008100
Quicksort,1175,710200
Quicksort,2022,852200
Quicksort,1174,782100
Quicksort,2021,975200
Quicksort,1173,855000
Quicksort,2020,943600
Quicksort,1172,612000
Quicksort,1171,864800
Quicksort,1170,744700
Quicksort,2019,837000
Quicksort,2018,837600
Quicksort,740,683700
Quicksort,2017,1050300
Quicksort,741,674600
Quicksort,1169,706800
Quicksort,2016,812600
Quicksort,742,670900
Quicksort,1168,863900
Quicksort,2015,901900
Quicksort,2499,878700
Quicksort,743,743900
Quicksort,1167,769500
Quicksort,2014,1539200
Quicksort,2498,1244600
Quicksort,744,559200
Quicksort,1166,695200
Quicksort,2013,1027900
Quicksort,2497,1119300
Quicksort,745,604900
Quicksort,746,718300
Quicksort,747,679100
Quicksort,748,541600
Quicksort,749,552200
Quicksort,1187,656900
Quicksort,2034,815500
Quicksort,1186,626600
Quicksort,2033,1171900
Quicksort,1185,663100
Quicksort,2032,963000
Quicksort,1184,917600
Quicksort,2031,837300
Quicksort,1183,919700
Quicksort,2030,944500
Quicksort,1182,624200
Quicksort,1181,696900
Quicksort,1180,701100
Quicksort,750,566900
Quicksort,2029,1060100
Quicksort,751,780300
Quicksort,2028,860500
Quicksort,752,599200
Quicksort,2027,809900
Quicksort,753,906000
Quicksort,1179,681900
Quicksort,2026,875300
Quicksort,754,587000
Quicksort,1178,641600
Quicksort,2025,859900
Quicksort,755,593600
Quicksort,1177,634400
Quicksort,2024,1197200
Quicksort,756,785900
Quicksort,757,641800
Quicksort,758,672600
Quicksort,759,664400
Quicksort,1190,628200
Quicksort,1198,703400
Quicksort,2045,1077800
Quicksort,1197,688100
Quicksort,2044,1520700
Quicksort,1196,603100
Quicksort,2043,1056600
Quicksort,1195,646000
Quicksort,2042,1149400
Quicksort,1194,592300
Quicksort,2041,1553200
Quicksort,1193,726400
Quicksort,2040,868300
Quicksort,1192,720600
Quicksort,1191,745800
Quicksort,760,563500
Quicksort,761,633000
Quicksort,762,687300
